ym,dong,phase,0-19,20-39,40-59,60+
201709,휘경2동,야간,3541.7000000000003,8629.58888888889,6009.5888888888885,4972.333333333333
201709,이문1동,야간,4234.099999999999,14328.477777777778,7160.122222222221,6328.9111111111115
201709,이문2동,야간,3340.3222222222225,5046.044444444445,5614.944444444444,4724.311111111111
201709,용신동,주간,4222.1809523809525,15592.990476190476,16398.433333333334,14744.128571428571
201709,제기동,주간,3478.5095238095237,10580.252380952381,10294.866666666667,14684.142857142857
201709,전농1동,주간,5449.257142857144,10322.92857142857,10489.261904761905,11245.733333333334
201709,전농2동,주간,4051.5523809523806,5531.3761904761905,3692.957142857143,3268.5619047619048
201709,답십리1동,주간,2617.6095238095236,4937.309523809524,5452.07619047619,4589.642857142857
201709,답십리2동,주간,1959.990476190476,4277.133333333333,5597.352380952381,5156.723809523809
201709,장안1동,주간,3152.7000000000003,10071.728571428572,11278.690476190475,8435.647619047619
201709,장안2동,주간,4662.219047619047,7449.414285714286,8656.033333333333,6608.609523809524
201709,청량리동,주간,2309.3,6382.280952380953,6957.304761904762,9107.785714285714
201709,회기동,주간,4080.4,10140.023809523811,4700.871428571429,4082.5142857142855
201709,휘경1동,주간,2103.714285714286,6335.861904761905,4665.8,5108.919047619048
201709,휘경2동,주간,3988.7666666666664,5480.438095238095,4161.5,3869.347619047619
201709,이문1동,주간,4324.104761904762,15638.814285714285,6039.052380952381,5149.266666666667
201709,이문2동,주간,1592.0666666666668,2477.595238095238,2963.9476190476194,3095.7238095238095
201710,용신동,야간,4116.89247311828,12905.68817204301,10662.236559139785,9882.440860215054
