code,y21,y25,dsale,dong,dpop
3130202,33094857809.0,41416101946.0,0.22429182399698797,11470560,-0.1117229384702667
3130203,19366061227.0,12828322614.0,-0.4118666820366316,11470560,-0.1117229384702667
3130204,23464598196.0,25828882563.0,0.09600051940999325,11470570,-0.3516761630431444
3130205,40873964960.0,54430994833.0,0.2864404427537181,11470610,-0.24450207935986645
3130206,9514997897.0,1352699713.0,-1.9507668967839127,11470640,0.002159030486370404
3130207,14401093922.0,14400234031.0,-5.9711899510944616e-05,11470620,-0.27995508158736365
3130208,58365746146.0,68179573991.0,0.1554158392343777,11470530,-0.02501180467093323
3130209,22995756655.0,22602885315.0,-0.017232138712723336,11470540,-0.012410788685581337
3130210,40441676814.0,44029165584.0,0.08499141097330244,11470520,-0.0674387207211712
3130211,1550931823.0,1238241736.0,-0.22516350789725967,11470630,0.10720751853079673
3130212,2275001898.0,2110213870.0,-0.0751915841473283,11500640,-0.06821909089461474
3130213,24568879961.0,29643819609.0,0.18777305896454546,11500630,0.019039371488755223
3130214,52853495894.0,69910477857.0,0.2796916782147871,11500611,-0.03254992874708681
3130216,26905902777.0,21089599824.0,-0.24356567699415585,11500540,-0.10016642953103722
3130217,31331714421.0,31903767853.0,0.01809329247774171,11500590,-0.057141050759213066
3130218,3535301379.0,3392533357.0,-0.041221606192505554,11500535,0.07888849285472187
3130219,73468838201.0,68213814630.0,-0.07421424136967317,11500593,0.334967747664379
3130220,729811057.0,986898004.0,0.30178102006743346,11500520,-0.10213345171663742
3130221,84669064375.0,81221597964.0,-0.041569100760926674,11500570,-0.1559507509542124
3130222,14861560243.0,12660609590.0,-0.16028246351640818,11530770,0.2732843854397766
3130223,43697919432.0,49425336126.0,0.12316267904550779,11530730,-0.18864720566598703
