ym,dong,hour,pop
201711,용신동,15,54252.46666666667
201711,제기동,15,39999.9
201711,전농1동,15,40155.26666666667
201711,전농2동,15,17647.333333333332
201711,답십리1동,15,19420.4
201711,답십리2동,15,18675.333333333332
201711,장안1동,15,34101.3
201711,장안2동,15,29457.2
201711,청량리동,15,25901.0
201711,회기동,15,26071.2
201711,휘경1동,15,18937.833333333332
201711,휘경2동,15,18891.066666666666
201711,이문1동,15,35459.63333333333
201711,이문2동,15,11363.433333333332
201711,용신동,16,52820.9
201711,제기동,16,38511.5
201711,전농1동,16,40122.433333333334
201711,전농2동,16,16969.466666666667
201711,답십리1동,16,19750.5
201711,답십리2동,16,19012.366666666665
201711,장안1동,16,34424.63333333333
201711,장안2동,16,30011.433333333334
201711,청량리동,16,26049.566666666666
201711,회기동,16,24425.766666666666
201711,휘경1동,16,19448.933333333334
201711,휘경2동,16,18497.133333333335
201711,이문1동,16,35059.433333333334
201711,이문2동,16,11849.433333333332
201711,용신동,17,50642.1
201711,제기동,17,36121.96666666667
201711,전농1동,17,39881.3
201711,전농2동,17,16320.933333333332
201711,답십리1동,17,19857.2
201711,답십리2동,17,19498.7
201711,장안1동,17,34783.333333333336
201711,장안2동,17,31031.633333333335
201711,청량리동,17,26115.233333333334
201711,회기동,17,22948.733333333334
201711,휘경1동,17,20430.266666666666
201711,휘경2동,17,18017.5
201711,이문1동,17,34072.26666666667
201711,이문2동,17,12370.466666666667
201711,용신동,18,46421.0
201711,제기동,18,34257.933333333334
201711,전농1동,18,41252.73333333333
201711,전농2동,18,15905.433333333332
201711,답십리1동,18,20553.933333333334
201711,답십리2동,18,19891.6
201711,장안1동,18,34623.933333333334
201711,장안2동,18,31791.366666666665
201711,청량리동,18,25603.233333333334
201711,회기동,18,21953.433333333334
201711,휘경1동,18,20790.366666666665
201711,휘경2동,18,18259.8
201711,이문1동,18,34076.7
201711,이문2동,18,13048.033333333333
201711,용신동,19,44257.166666666664
201711,제기동,19,33366.433333333334
201711,전농1동,19,40333.333333333336
201711,전농2동,19,16190.2
201711,답십리1동,19,21029.333333333332
201711,답십리2동,19,20362.966666666667
201711,장안1동,19,34050.03333333333
201711,장안2동,19,32914.3
201711,청량리동,19,24944.0
201711,회기동,19,21874.166666666668
201711,휘경1동,19,20819.4
201711,휘경2동,19,18926.166666666668
201711,이문1동,19,34954.3
201711,이문2동,19,13733.4
201711,용신동,20,43454.7
201711,제기동,20,33075.8
201711,전농1동,20,39377.76666666667
201711,전농2동,20,16543.133333333335
201711,답십리1동,20,21493.033333333333
